eternal,2冊
クリエイティブエンタテインメント,1冊
東洋経済新報社,2冊
BCCKS Distribution,1冊
翔泳社,9冊
フューチャーコミックス,5冊
早川書房,1冊
ソルマーレ編集部,5冊
インプレス,2冊
小池書院,1冊
イースト・プレス,6冊
KADOKAWA / 富士見書房,3冊
三和出版,16冊
KATTS,3冊
小学館,489冊
少年画報社,36冊
激ちゅぱっ,1冊
マッグガーデン,30冊
芳文社,91冊
DeNA,2冊
CCCメディアハウス,1冊
SCC,1冊
エブリスタ,3冊
プレジデント社,1冊
ユナイテッド・ブックス,1冊
松文館,6冊
竹書房,124冊
電書バト,2冊
扶桑社,4冊
角川アスキー総合研究所,2冊
ビーグリー,1冊
健康マネジメント,1冊
集英社,882冊
幻冬舎コミックス,25冊
太田出版,19冊
ジーウォーク,10冊
KADOKAWA / 角川書店,3冊
一迅社,15冊
フランス書院,1冊
HIMEクリピンク,4冊
クリーク・アンド・リバー社,2冊
エンジェル出版,46冊
コアミックス,11冊
KADOKAWA / エンターブレイン,1冊
forcs,1冊
株式会社ディケイド,3冊
インプレス,2冊
NHK出版,1冊
ビーグリー,1冊
青林堂,1冊
手塚プロダクション,9冊
ぶんか社,7冊
ナンネット,3冊
日経BP,4冊
アース・スター エンターテイメント,5冊
ワニマガジン社,151冊
MAX/大洋図書,1冊
東洋経済新報社,2冊
松文館,6冊
-------,12冊
集英社,882冊
文響社,1冊
マッグガーデン,30冊
佐藤漫画製作所,17冊
一迅社,15冊
サークルチェンジ,3冊
激ちゅぱっ,1冊
Kongc Test Pub,1冊
秋田書店,395冊
KADOKAWA,356冊
クロエ出版/大洋図書,4冊
幻冬舎コミックス,25冊
小池書院,1冊
日本文芸社,87冊
少年画報社,36冊
ジーオーティー,15冊
コアマガジン/ホットミルクコミックス,4冊
角川アスキー総合研究所,2冊
復刊ドットコム,2冊
芳文社,91冊
フランス書院,1冊
,9冊
白泉社,116冊
キリブックス,5冊
eternal,2冊
技術評論社,2冊
カゲキヤ出版,8冊
若生出版,16冊
プレジデント社,1冊
楽楽出版,5冊
グループ・ゼロ,7冊
富士美出版株式会社,13冊
学研プラス,12冊
三和出版,16冊
KADOKAWA / 角川書店,3冊
TOブックス,13冊
双葉社,212冊
フューチャーコミックス,5冊
アイロゴス,1冊
ISSUISHA,2冊
エンジェル出版,46冊
新潮社,80冊
幻冬舎,5冊
朝日新聞出版,7冊
"フクモトプロ／highstone, Inc.",20冊
早川書房,1冊
まみあな出版,1冊
HIMEクリピンク,4冊
キルタイムコミュニケーション,3冊
講談社,1024冊
太田出版,19冊
ヒーローズ,25冊
英治出版,1冊
光文社,1冊
株式会社オトコノアジト,1冊
ゴマブックス株式会社,7冊
大洋図書,2冊
コアマガジン/メガストアコミックス,52冊
小学館,489冊
オークス,1冊
健康マネジメント,1冊
翔泳社,9冊
ブリック出版,1冊
海王社,4冊
日経ナショナル ジオグラフィック社,1冊
らいとすたっふ,1冊
小学館クリエイティブ,1冊
扶桑社,4冊
鉄人社,8冊
日経BP社,3冊
東村ジャパン,5冊
茜新社,9冊
DeNA,2冊
MAX／大洋図書,4冊
コアミックス,11冊
KADOKAWA / 富士見書房,3冊
イースト・プレス,6冊
MTEX,1冊
エブリスタ,3冊
電書バト,2冊
マイクロマガジン社,2冊
ソルマーレ編集部,5冊
クリーク・アンド・リバー社,2冊
青林堂ビジュアル,1冊
Oxford University Press,2冊
WINGSプロジェクト,1冊
PHP研究所,1冊
株式会社メディアソフト,1冊
秋水社ORIGINAL,1冊
KADOKAWA / アスキー・メディアワークス,2冊
スクウェア・エニックス,71冊
メディアックス,1冊
パンローリング株式会社,1冊
SCC,1冊
KADOKAWA / エンターブレイン,1冊
ワニブックス,5冊
VIZ Media: SHONEN JUMP,1冊
コミックハウス,8冊
竹書房,124冊
ナンバーナイン,1冊
文苑堂,2冊
BCCKS Distribution,1冊
マガジン・マガジン,5冊
たかだ書房,1冊
サン出版,7冊
CCCメディアハウス,1冊
すばる舎,2冊
ピンクパイナップル,1冊
リイド社,29冊
かんき出版,2冊
クリエイティブエンタテインメント,1冊
実業之日本社,10冊
三才ブックス,2冊
KATTS,3冊
フレックスコミックス,1冊
ジーウォーク,10冊
ＴＭＥプラス,2冊
スクリーモ,1冊
ユナイテッド・ブックス,1冊
アイロゴス,1冊
KADOKAWA / 富士見書房,3冊
HIMEクリピンク,4冊
クリーク・アンド・リバー社,2冊
一迅社,15冊
サークルチェンジ,3冊
ピンクパイナップル,1冊
株式会社ディケイド,3冊
ナンバーナイン,1冊
ワニブックス,5冊
扶桑社,4冊
鉄人社,8冊
キルタイムコミュニケーション,3冊
三和出版,16冊
BCCKS Distribution,1冊
スクリーモ,1冊
eternal,2冊
ワニマガジン社,151冊
小池書院,1冊
株式会社オトコノアジト,1冊
SCC,1冊
楽楽出版,5冊
コアマガジン/ホットミルクコミックス,4冊
青林堂,1冊
forcs,1冊
秋水社ORIGINAL,1冊
ＴＭＥプラス,2冊
若生出版,16冊
NHK出版,1冊
東村ジャパン,5冊
日本文芸社,87冊
イースト・プレス,6冊
朝日新聞出版,7冊
双葉社,212冊
電書バト,2冊
フランス書院,1冊
KATTS,3冊
ゴマブックス株式会社,7冊
青林堂ビジュアル,1冊
翔泳社,9冊
ぶんか社,7冊
三才ブックス,2冊
健康マネジメント,1冊
Kongc Test Pub,1冊
TOブックス,13冊
PHP研究所,1冊
ソルマーレ編集部,5冊
グループ・ゼロ,7冊
海王社,4冊
サン出版,7冊
実業之日本社,10冊
DeNA,2冊
エンジェル出版,46冊
技術評論社,2冊
たかだ書房,1冊
"フクモトプロ／highstone, Inc.",20冊
,9冊
富士美出版株式会社,13冊
MAX/大洋図書,1冊
-------,12冊
コアマガジン/メガストアコミックス,52冊
文響社,1冊
スクウェア・エニックス,71冊
茜新社,9冊
エブリスタ,3冊
MAX／大洋図書,4冊
すばる舎,2冊
WINGSプロジェクト,1冊
CCCメディアハウス,1冊
佐藤漫画製作所,17冊
秋田書店,395冊
コミックハウス,8冊
白泉社,116冊
フレックスコミックス,1冊
メディアックス,1冊
ISSUISHA,2冊
竹書房,124冊
マイクロマガジン社,2冊
光文社,1冊
パンローリング株式会社,1冊
新潮社,80冊
芳文社,91冊
ヒーローズ,25冊
太田出版,19冊
激ちゅぱっ,1冊
KADOKAWA / 角川書店,3冊
少年画報社,36冊
クロエ出版/大洋図書,4冊
日経BP,4冊
アース・スター エンターテイメント,5冊
クリエイティブエンタテインメント,1冊
東洋経済新報社,2冊
キリブックス,5冊
インプレス,2冊
集英社,882冊
松文館,6冊
ブリック出版,1冊
学研プラス,12冊
幻冬舎,5冊
MTEX,1冊
オークス,1冊
KADOKAWA,356冊
VIZ Media: SHONEN JUMP,1冊
手塚プロダクション,9冊
かんき出版,2冊
文苑堂,2冊
KADOKAWA / アスキー・メディアワークス,2冊
大洋図書,2冊
フューチャーコミックス,5冊
らいとすたっふ,1冊
まみあな出版,1冊
株式会社メディアソフト,1冊
Oxford University Press,2冊
小学館,489冊
英治出版,1冊
ジーウォーク,10冊
角川アスキー総合研究所,2冊
早川書房,1冊
幻冬舎コミックス,25冊
リイド社,29冊
日経BP社,3冊
マガジン・マガジン,5冊
ユナイテッド・ブックス,1冊
マッグガーデン,30冊
コアミックス,11冊
日経ナショナル ジオグラフィック社,1冊
ナンネット,3冊
講談社,1024冊
小学館クリエイティブ,1冊
プレジデント社,1冊
復刊ドットコム,2冊
ジーオーティー,15冊
KADOKAWA / エンターブレイン,1冊
カゲキヤ出版,8冊
ビーグリー,1冊
イースト・プレス,6冊
たかだ書房,1冊
サン出版,7冊
扶桑社,4冊
講談社,1024冊
エンジェル出版,46冊
翔泳社,9冊
マッグガーデン,30冊
コアミックス,11冊
実業之日本社,10冊
すばる舎,2冊
Kongc Test Pub,1冊
TOブックス,13冊
フレックスコミックス,1冊
日経ナショナル ジオグラフィック社,1冊
手塚プロダクション,9冊
カゲキヤ出版,8冊
スクウェア・エニックス,71冊
英治出版,1冊
株式会社オトコノアジト,1冊
Oxford University Press,2冊
KADOKAWA,356冊
ブリック出版,1冊
一迅社,15冊
双葉社,212冊
エブリスタ,3冊
ジーウォーク,10冊
株式会社メディアソフト,1冊
マガジン・マガジン,5冊
コアマガジン/メガストアコミックス,52冊
技術評論社,2冊
KADOKAWA / エンターブレイン,1冊
大洋図書,2冊
早川書房,1冊
ISSUISHA,2冊
角川アスキー総合研究所,2冊
WINGSプロジェクト,1冊
ナンバーナイン,1冊
朝日新聞出版,7冊
マイクロマガジン社,2冊
茜新社,9冊
MTEX,1冊
東洋経済新報社,2冊
かんき出版,2冊
ワニマガジン社,151冊
新潮社,80冊
日経BP,4冊
電書バト,2冊
鉄人社,8冊
小学館クリエイティブ,1冊
CCCメディアハウス,1冊
青林堂ビジュアル,1冊
スクリーモ,1冊
オークス,1冊
少年画報社,36冊
forcs,1冊
ナンネット,3冊
白泉社,116冊
HIMEクリピンク,4冊
ヒーローズ,25冊
まみあな出版,1冊
秋水社ORIGINAL,1冊
コアマガジン/ホットミルクコミックス,4冊
パンローリング株式会社,1冊
KATTS,3冊
幻冬舎コミックス,25冊
サークルチェンジ,3冊
復刊ドットコム,2冊
ユナイテッド・ブックス,1冊
SCC,1冊
コミックハウス,8冊
フランス書院,1冊
VIZ Media: SHONEN JUMP,1冊
芳文社,91冊
光文社,1冊
グループ・ゼロ,7冊
青林堂,1冊
株式会社ディケイド,3冊
竹書房,124冊
集英社,882冊
若生出版,16冊
メディアックス,1冊
ＴＭＥプラス,2冊
,9冊
ジーオーティー,15冊
ワニブックス,5冊
アース・スター エンターテイメント,5冊
ビーグリー,1冊
文響社,1冊
"フクモトプロ／highstone, Inc.",20冊
アイロゴス,1冊
KADOKAWA / 角川書店,3冊
インプレス,2冊
リイド社,29冊
