翔泳社,9冊
手塚プロダクション,9冊
青林堂,1冊
角川アスキー総合研究所,2冊
eternal,2冊
日本文芸社,87冊
MAX/大洋図書,1冊
文苑堂,2冊
日経BP社,3冊
松文館,6冊
英治出版,1冊
コアマガジン/ホットミルクコミックス,4冊
集英社,882冊
光文社,1冊
鉄人社,8冊
ビーグリー,1冊
MTEX,1冊
カゲキヤ出版,8冊
KADOKAWA / アスキー・メディアワークス,2冊
ナンバーナイン,1冊
クロエ出版/大洋図書,4冊
マイクロマガジン社,2冊
楽楽出版,5冊
三和出版,16冊
株式会社メディアソフト,1冊
フューチャーコミックス,5冊
一迅社,15冊
扶桑社,4冊
芳文社,91冊
DeNA,2冊
ゴマブックス株式会社,7冊
海王社,4冊
オークス,1冊
技術評論社,2冊
PHP研究所,1冊
フランス書院,1冊
東洋経済新報社,2冊
株式会社オトコノアジト,1冊
パンローリング株式会社,1冊
クリーク・アンド・リバー社,2冊
ＴＭＥプラス,2冊
,9冊
forcs,1冊
KATTS,3冊
小学館,489冊
ブリック出版,1冊
朝日新聞出版,7冊
エブリスタ,3冊
コミックハウス,8冊
白泉社,116冊
ISSUISHA,2冊
WINGSプロジェクト,1冊
新潮社,80冊
たかだ書房,1冊
クリエイティブエンタテインメント,1冊
メディアックス,1冊
マッグガーデン,30冊
学研プラス,12冊
BCCKS Distribution,1冊
ユナイテッド・ブックス,1冊
コアミックス,11冊
グループ・ゼロ,7冊
すばる舎,2冊
